"key","message","comment","context"
"Daily planned time",,,
"Delete",,,
"Do you really want to delete the selected record?",,,
"Employee",,,
"Employees",,,
"End",,,
"Error",,,
"Friday",,,
"Internal Server Error",,,
"Loading...",,,
"Monday",,,
"Next",,,
"One of the employee you planned does not have activity field filled in his employee form",,,
"Planification par employé",,,
"Planned time",,,
"Previous",,,
"Project",,,
"Project task",,,
"Refresh",,,
"Save",,,
"Search task...",,,
"Show employee",,,
"Show project",,,
"Show task",,,
"Start",,,
"The task/project you planned does not have timeUnit either filled in project or in project-task",,,
"Thursday",,,
"Today",,,
"Tuesday",,,
"Vue planning synthétique",,,
"Wednesday",,,
"Week",,,
